approximate_timing,mean,maxVal,diff,std,var,skewness,kurtosis_,median_abs_deviation_,max_deviation
0:0.0 - 0:1.4,0.4388427734375,8623.0,8622.561157226562,1025.2962828689192,1051232.4676648227,0.14342207725487188,38.841009395952995,0.0,8624.438842773438
0:1.4 - 0:2.7,0.20314788818359375,30882.0,30881.796852111816,1037.5031088238982,1076412.7008192537,-1.1953506414849973,391.48636793669436,0.0,30883.203147888184
0:2.7 - 0:4.1,-0.0723876953125,26.0,26.0723876953125,1.7126560681293128,2.933190807700157,-0.4007341480427322,50.79815198499112,0.0,26.9276123046875
0:4.1 - 0:5.5,-0.2516937255859375,28.0,28.251693725585938,3.1005151923436522,9.613194457953796,-0.34146511582115036,12.099709948311252,0.0,31.748306274414062
0:5.5 - 0:6.8,-0.25208282470703125,55.0,55.25208282470703,5.232578932900918,27.379882289038505,-2.8836177048019347,65.3201928992385,0.0,72.74791717529297
0:6.8 - 0:8.2,-0.2542572021484375,10.0,10.254257202148438,2.054139037720782,4.219487186288461,-0.3937411600998344,2.802267972423305,0.0,11.745742797851562
0:8.2 - 0:9.6,0.8876113891601562,30882.0,30881.11238861084,651.8246281058923,424875.34580538486,7.621085828353249,1202.214577906528,0.0,30883.88761138916
0:9.6 - 0:10.9,-0.2520904541015625,12.0,12.252090454101562,2.0043638823508925,4.017474572872743,-0.3988555619693585,3.16822794194968,0.0,12.252090454101562
0:10.9 - 0:12.3,-0.25318145751953125,249.0,249.25318145751953,3.8782248320976382,15.040627848298755,1.0373052692941866,957.268687704034,0.0,249.25318145751953
0:12.3 - 0:13.7,-0.2521820068359375,9.0,9.252182006835938,1.1630474022335726,1.3526792598422617,-0.6000663194438473,6.502123957544077,0.0,9.747817993164062
0:13.7 - 0:15.0,-0.04811859130859375,1.0,1.0481185913085938,0.21529632808136853,0.046352508885320276,-4.291441283259609,16.918887752141135,0.0,1.9518814086914062
0:15.0 - 0:16.4,-0.7591476440429688,32767.0,32767.759147644043,793.9341649141098,630331.458217865,1.6490086800005825,1115.7537797800924,0.0,32767.759147644043
0:16.4 - 0:17.7,-0.31458282470703125,1.0,1.3145828247070312,0.5015981416589893,0.2516006957157515,-1.0954033348261045,0.2212339094055018,0.0,2.6854171752929688
0:17.7 - 0:19.1,-0.05622100830078125,0.0,0.05622100830078125,0.23034801177007094,0.053060206526424736,-3.85311762223666,12.84651541079068,0.0,0.9437789916992188
0:19.1 - 0:20.5,-0.12945556640625,6.0,6.12945556640625,0.9110334675425964,0.829981978982687,-2.0161470185528394,12.833702527047091,0.0,7.87054443359375
0:20.5 - 0:21.8,-1.1134109497070312,32767.0,32768.11341094971,784.0488041418092,614732.5272762012,2.064344231854994,1096.6852715113992,0.0,32768.11341094971
0:21.8 - 0:23.2,-0.37042236328125,36.0,36.37042236328125,1.1422133279090245,1.3046512864530087,0.33378818036961766,106.99525013570612,0.0,38.62957763671875
0:23.2 - 0:24.6,-0.1749267578125,3.0,3.1749267578125,0.45384236803785405,0.20597289502620697,-2.1091825084873883,5.964021214176245,0.0,3.8250732421875
0:24.6 - 0:25.9,-0.1719818115234375,37.0,37.17198181152344,1.9966692579507859,3.986688125645742,0.3591450420527109,25.09323195917257,0.0,37.17198181152344
0:25.9 - 0:27.3,-2.9396743774414062,31740.0,31742.93967437744,867.8873836837855,753228.5107574863,1.0779586793852514,689.8792626814599,0.0,31742.93967437744
0:27.3 - 0:28.7,-0.24898529052734375,57.0,57.248985290527344,3.7399741516073153,13.987406654690858,-0.34721099200130734,43.85387881301904,0.0,64.75101470947266
0:28.7 - 0:30.0,-0.0656280517578125,15.0,15.065628051757812,0.5321358329975289,0.2831685447599739,0.20974167142775374,126.28853949575017,0.0,15.065628051757812
0:30.0 - 0:31.4,-0.3371734619140625,28679.0,28679.337173461914,835.9675128819084,698841.6825939637,1.2521100238978657,569.8786140138384,0.0,28679.662826538086
0:31.4 - 0:32.8,-0.24033355712890625,57.0,57.240333557128906,4.229404814686523,17.887865086493548,-0.5970167667753981,20.612458782059324,0.0,76.7596664428711
0:32.8 - 0:34.1,-0.17369842529296875,16.0,16.17369842529297,1.9015984646660489,3.616076720820274,-0.37404500047579947,12.486685468686225,0.0,17.82630157470703
0:34.1 - 0:35.5,-0.121826171875,533.0,533.121826171875,23.583970493604788,556.2036642432213,-0.8715186852782147,159.13282942700909,0.0,536.878173828125
0:35.5 - 0:36.9,-0.23697662353515625,791.0,791.2369766235352,63.48801809305513,4030.728441384096,0.17858555164324905,54.86942956645698,0.0,791.2369766235352
