approximate_timing,maxVal,std,skewness,kurtosis_,max_deviation,centroids_ptp,centroids_mean,centroids_std,centroids_kurt,centroids_skew,sp_bandwidth_ptp,sp_bandwidth_mean,sp_bandwidth_std,sp_bandwidth_skew,fft_1,rms,p_t_p,crest_f,prediction
3:8.7 - 3:10.2,24935.0,2148.9,-0.1,13.6,24898.3,1343.9,13600.6,260.7,0.8,-0.7,801.4,9735.7,147.7,-0.7,0.5,33.2,-19493.0,751.1,0.9528231
3:10.2 - 3:11.7,11530.0,1100.0,0.2,12.2,11494.4,1858.8,13192.9,352.8,-0.4,0.1,1217.9,9538.7,256.1,0.2,0.5,41.9,21306.0,275.3,0.003092475
3:11.7 - 3:13.2,9736.0,1413.4,0.2,5.3,10429.1,2791.7,13177.9,359.6,2.5,-0.3,1019.3,9619.2,218.0,0.4,0.5,34.3,20133.0,283.5,0.0030177701
3:13.2 - 3:14.7,26411.0,3043.8,0.1,2.1,26374.5,6367.3,16216.5,1742.8,-0.8,-0.7,3972.8,8290.2,987.6,0.3,-0.5,21.0,-22235.0,1259.2,0.9766533
3:14.7 - 3:16.2,9591.0,2066.9,-0.1,0.8,11286.2,5901.9,15928.6,1336.6,0.2,-1.2,3050.1,8641.7,665.4,1.0,0.5,20.9,20843.0,458.6,0.096544325
3:16.2 - 3:17.6,24782.0,2329.2,0.3,7.0,24751.9,1744.9,13474.1,293.6,0.3,-0.2,1056.3,9751.2,168.9,0.3,0.5,27.1,-22569.0,914.6,0.97296697
3:17.6 - 3:19.1,12968.0,1072.8,-0.7,26.6,21467.3,1340.9,13550.2,270.2,-0.6,0.0,781.4,9657.6,129.0,-0.2,0.5,40.0,-31137.0,323.9,0.0029401388
3:19.1 - 3:20.6,11409.0,1601.6,0.1,5.5,11367.8,1991.8,13358.2,305.7,0.7,0.3,943.0,9725.3,205.9,0.5,0.5,31.1,21218.0,366.4,0.006581193
3:20.6 - 3:22.1,30070.0,1725.3,0.7,21.1,30035.0,2986.1,13248.1,356.4,2.7,0.1,1153.2,9643.0,241.4,0.8,0.5,33.2,-18894.0,904.9,0.0551896
3:22.1 - 3:23.6,18965.0,2020.1,-0.1,6.6,19367.7,4126.1,14291.3,1084.7,0.1,1.2,2024.4,9374.4,579.5,-1.0,-0.5,29.0,-27243.0,654.5,0.109374106
3:23.6 - 3:25.1,10097.0,2977.5,0.0,-0.1,11284.7,4341.8,16191.5,635.3,1.9,-0.9,1864.1,8584.9,358.5,0.7,-0.5,13.5,21345.0,747.4,0.98801976
3:25.1 - 3:26.6,23200.0,2789.8,0.0,2.9,23157.5,4495.1,16231.7,710.8,1.5,0.6,2852.1,8417.8,387.1,-1.5,-0.5,17.6,-23593.0,1320.5,0.9766684
3:26.6 - 3:28.1,18697.0,2212.5,-0.0,4.1,18659.8,3561.5,17430.8,761.7,-1.0,0.1,2645.9,7703.0,591.7,-0.3,-0.5,22.4,-32417.0,835.9,0.06289256
3:28.1 - 3:29.5,11817.0,1997.0,0.0,1.5,11778.9,4913.7,16238.7,742.5,0.6,0.0,2578.4,8522.8,324.2,0.1,0.5,22.9,22677.0,515.2,0.090932444
3:29.5 - 3:31.0,10245.0,2865.0,-0.0,0.1,10802.3,4087.7,16241.0,716.6,0.6,-0.7,2283.9,8640.5,414.8,0.7,0.5,15.9,21016.0,645.6,0.992898
3:31.0 - 3:32.5,9742.0,2955.7,-0.1,0.2,10577.7,4634.8,15882.8,912.7,0.1,-0.7,2308.5,8896.8,485.0,0.5,0.5,14.5,20276.0,671.6,0.9893568
3:32.5 - 3:34.0,25555.0,2683.3,0.1,3.8,25519.1,7113.4,16572.7,1354.7,0.8,-1.1,3647.8,8082.3,664.0,0.0,0.5,19.1,-17335.0,1337.6,0.97253877
3:34.0 - 3:35.5,9962.0,2231.3,0.1,0.5,9924.9,4190.4,15972.7,744.5,0.4,-0.7,2245.1,8783.2,401.4,0.4,-0.5,18.2,18144.0,546.7,0.12261256
3:35.5 - 3:37.0,11241.0,2508.9,0.0,0.7,11189.0,3866.0,16018.2,707.2,0.0,-0.4,2239.9,8752.2,409.9,0.5,-0.5,17.1,22036.0,657.8,0.9892804
3:37.0 - 3:38.5,27377.0,3108.4,0.1,1.4,27344.9,4757.0,16101.2,869.6,0.4,-0.6,3179.4,8622.6,501.0,0.4,0.5,17.1,-18858.0,1597.7,0.9781305
3:38.5 - 3:39.9,20483.0,2608.1,-0.0,4.5,20527.7,5499.5,17140.4,1107.6,-0.6,0.1,3191.1,7724.2,693.0,-0.8,0.5,22.7,-24564.0,902.3,0.87736326
3:39.9 - 3:41.4,14115.0,1889.2,-0.1,3.7,14075.2,4724.5,15702.2,1001.0,-0.7,0.6,1919.2,8250.7,402.5,-1.0,0.5,21.8,27493.0,648.3,0.41102389
3:41.4 - 3:42.9,10049.0,1906.6,-0.1,0.4,12044.1,4384.3,15287.7,613.3,1.9,-0.3,1408.7,8419.3,190.4,-1.2,0.5,19.5,22059.0,516.5,0.021335363
3:42.9 - 3:44.4,14277.0,2714.5,0.0,0.7,15992.5,4106.6,16096.9,804.4,-0.5,-0.0,2357.7,8359.9,435.0,-0.2,0.5,19.7,30231.0,725.0,0.9871622
3:44.4 - 3:45.9,22931.0,2979.1,0.1,2.1,22894.4,4736.1,16475.0,1108.8,-0.9,0.5,3375.5,8089.5,668.7,-0.9,-0.5,16.3,-23386.0,1406.3,0.9691256
3:45.9 - 3:47.4,12203.0,1608.4,-0.1,2.1,13635.6,6088.7,16399.2,992.9,0.3,0.5,3080.3,8127.5,546.2,-1.2,-0.5,24.6,25799.0,496.8,0.014480187
3:47.4 - 3:48.9,13600.0,2261.5,0.0,1.2,13567.6,4540.6,16254.1,742.7,1.1,-0.8,2556.6,8388.7,452.2,0.1,0.5,19.7,25997.0,690.3,0.98103803
3:48.9 - 3:50.3,16059.0,2205.2,-0.1,2.6,19357.8,6804.8,16403.8,880.2,5.3,-1.1,2283.6,8159.1,392.2,-1.3,0.5,19.9,-30160.0,806.8,0.6008529
3:50.3 - 3:51.8,15842.0,2524.7,-0.1,2.0,24483.3,4102.9,16841.1,682.4,0.7,-0.1,2619.6,8005.8,479.0,-0.2,-0.5,19.4,-25248.0,815.4,0.97973037
3:51.8 - 3:53.3,10840.0,2237.0,-0.0,0.3,11015.1,5160.0,15730.1,809.8,0.8,-0.3,2209.7,8474.2,365.4,0.2,0.5,18.7,21816.0,579.8,0.98104584
3:53.3 - 3:54.8,23981.0,2761.1,0.1,4.0,23944.2,4747.2,16347.9,1133.4,-0.9,0.2,2882.7,8184.8,659.5,-0.6,0.5,16.2,-22552.0,1481.4,0.94732153
3:54.8 - 3:56.3,14084.0,1566.5,0.0,5.6,15509.8,4175.6,16782.9,790.0,0.3,0.7,2397.4,8015.3,484.8,-1.4,-0.5,24.2,29554.0,582.5,0.0881862
3:56.3 - 3:57.8,26732.0,2741.4,0.2,7.7,26693.4,3680.6,16054.6,642.9,1.7,-1.0,1989.7,8394.6,359.3,0.8,0.5,22.4,-17142.0,1192.9,0.94982755
3:57.8 - 3:59.3,23825.0,2660.9,0.0,5.6,23785.3,4686.3,17691.6,829.1,1.2,-0.9,3013.4,7384.8,599.9,0.3,-0.5,22.8,-21765.0,1043.1,0.97409445
3:59.3 - 4:0.7,24382.0,2191.4,0.0,10.5,24344.6,4891.6,17448.9,787.2,1.8,-0.7,3288.4,7612.2,559.1,-0.3,0.5,27.0,-21641.0,903.1,0.6372332
4:0.7 - 4:2.2,24540.0,2070.2,0.0,13.1,24500.2,3918.8,17186.2,690.4,0.2,0.1,2774.6,7771.7,494.5,-0.7,-0.5,30.3,-19199.0,810.7,0.53525126
4:2.2 - 4:3.7,24726.0,2433.5,-0.1,10.1,24685.8,6091.3,17312.9,985.3,2.8,-1.1,3802.0,7593.3,653.9,0.2,-0.5,27.1,-17581.0,913.1,0.975513
4:3.7 - 4:5.2,17418.0,1370.1,-0.0,11.0,18044.7,4266.7,17138.2,766.0,0.1,0.2,2716.1,7818.4,528.8,-1.3,-0.5,30.2,-30111.0,576.2,0.122124515
4:5.2 - 4:6.7,26850.0,3277.5,0.1,5.0,26813.2,5408.9,17080.6,924.1,1.9,-0.9,3099.6,7910.4,528.2,-0.1,-0.5,22.7,-17773.0,1181.0,0.9530671
4:6.7 - 4:8.2,25710.0,2417.4,0.0,8.2,25670.8,5898.0,17553.6,941.3,3.8,-1.6,3748.8,7509.3,593.1,0.7,0.5,25.4,-17709.0,1012.5,0.973823
4:8.2 - 4:9.7,24455.0,2128.2,-0.1,10.8,24418.9,5111.1,17371.3,739.4,3.3,-0.8,3420.5,7664.1,536.6,-0.3,-0.5,27.2,-18315.0,897.6,0.53336245
4:9.7 - 4:11.1,25423.0,2457.1,0.1,10.4,25386.9,5409.2,17338.6,911.0,1.6,-0.7,3746.5,7677.7,660.9,-0.4,-0.5,27.3,-18269.0,931.5,0.9513865
4:11.1 - 4:12.6,19593.0,1763.3,-0.0,9.8,19554.1,4296.2,17463.0,685.8,0.6,0.1,2941.2,7635.4,562.1,-0.6,-0.5,29.3,-29725.0,667.8,0.08812674
4:12.6 - 4:14.1,26180.0,2245.7,0.1,11.1,26141.9,4974.1,17416.7,762.3,1.5,-0.3,3552.2,7697.3,544.7,-0.5,-0.5,26.6,-16316.0,984.2,0.8822555
4:14.1 - 4:15.6,9496.0,2349.5,0.1,0.7,9434.0,16721.4,5242.8,6771.0,-0.6,1.2,6517.6,5077.2,1787.9,1.1,-0.0,22.3,18633.0,425.0,0.2731183
4:15.6 - 4:17.1,12455.0,2761.4,0.0,0.3,14838.1,2190.7,1390.9,372.3,8.6,2.9,2587.0,4086.6,442.1,2.2,-0.0,18.2,27219.0,685.6,0.98771405
4:17.1 - 4:18.6,13566.0,2169.0,-0.1,2.8,14092.0,2529.5,1398.6,484.3,5.7,2.5,2387.8,4076.6,476.9,1.6,-0.0,20.5,27578.0,663.4,0.8476235
4:18.6 - 4:20.1,9351.0,2640.9,0.1,-0.1,10292.6,2180.9,1319.9,205.2,39.6,4.9,1783.8,4024.2,255.3,1.0,0.0,15.0,19564.0,624.4,0.98701024
4:20.1 - 4:21.5,9019.0,2700.9,0.0,-0.1,9480.2,1769.5,1325.0,160.1,23.1,3.0,1839.6,4036.3,229.6,0.5,-0.0,15.4,18423.0,587.4,0.97787935
4:21.5 - 4:23.0,9173.0,2206.3,0.1,1.3,9308.0,5239.8,2641.4,1861.0,-1.4,0.7,2572.1,4697.7,941.9,0.6,-0.0,38.5,18429.0,238.4,0.07378994
4:23.0 - 4:24.5,11475.0,5293.4,-1.4,4.7,32762.3,4429.2,3153.5,1469.1,-1.5,0.4,2260.6,5116.5,745.0,0.0,0.0,36.9,-21293.0,310.9,0.5023702
4:24.5 - 4:26.0,6557.0,3350.4,-0.4,0.4,16611.9,2317.4,1697.2,398.0,5.1,2.1,1856.1,4276.4,333.4,1.4,-0.0,10.6,23153.0,616.6,0.98514473
4:26.0 - 4:27.5,5551.0,1527.2,-0.1,1.6,7578.8,2099.1,2133.5,430.4,-0.9,0.1,1714.2,4653.5,359.9,-0.2,0.0,27.0,13131.0,205.6,0.0055686017
4:27.5 - 4:29.0,2671.0,505.9,0.0,0.7,2671.5,1584.5,3156.1,304.0,0.1,-0.4,886.3,5342.6,167.1,-0.9,-0.0,41.4,5291.0,64.5,0.0029017502
4:29.0 - 4:30.5,6445.0,260.9,0.1,28.8,6444.6,3664.2,4306.0,557.3,6.0,2.0,560.3,5775.0,109.4,-0.4,-0.0,56.9,12705.0,113.3,0.00027609788
4:30.5 - 4:32.0,2083.0,184.1,-0.0,1.6,2392.0,2191.0,4762.2,429.5,1.8,1.4,295.7,5895.7,59.6,-0.0,0.0,63.9,4475.0,32.6,0.0006241882
