approximate_timing,maxVal,std,skewness,kurtosis_,max_deviation,centroids_ptp,centroids_mean,centroids_std,centroids_kurt,centroids_skew,sp_bandwidth_ptp,sp_bandwidth_mean,sp_bandwidth_std,sp_bandwidth_skew,fft_1,rms,p_t_p,crest_f,prediction
0:38.6 - 0:40.1,11238.0,544.0,0.4,31.8,11198.9,2449.9,14241.4,405.8,0.5,-0.3,656.9,8683.7,109.0,-0.8,0.0,48.6,20376.0,231.2,0.0005182701
0:40.1 - 0:41.6,10936.0,596.4,0.2,22.1,10896.7,1947.6,14263.0,333.6,0.4,-0.4,455.2,8691.5,76.9,-0.3,0.0,48.1,20182.0,227.2,0.00046012778
0:41.6 - 0:43.1,10935.0,551.9,0.2,29.5,10895.8,2250.8,14216.4,345.1,1.1,0.6,557.2,8694.3,83.7,-0.0,0.0,49.0,20350.0,223.3,0.0005968542
0:43.1 - 0:44.6,7423.0,511.1,0.0,10.1,7384.2,2703.4,14461.6,529.3,-0.4,0.1,591.2,8710.1,94.8,-0.7,0.0,47.9,14258.0,154.8,0.00036452178
0:44.6 - 0:46.1,21210.0,1763.8,0.3,14.2,21171.4,5029.7,15575.8,948.4,2.7,1.8,3598.5,8619.1,465.0,-3.0,0.5,33.4,-28411.0,634.2,0.020398488
0:46.1 - 0:47.6,12170.0,2755.7,0.0,0.6,12132.8,3617.4,17428.2,783.8,-0.1,0.7,2948.2,7911.5,694.1,-1.3,0.5,15.4,24131.0,791.6,0.95554554
0:47.6 - 0:49.0,10263.0,1504.3,-0.0,1.2,10226.8,1941.1,15782.2,346.3,0.7,-0.5,798.6,8789.3,79.1,-1.1,-0.5,27.1,18842.0,378.1,0.00044980744
0:49.0 - 0:50.5,6753.0,862.1,-0.0,1.7,6716.4,1623.6,15246.1,325.1,-0.4,-0.2,496.3,8815.4,76.2,0.2,0.0,34.7,12918.0,194.9,0.0023378436
0:50.5 - 0:52.0,10467.0,818.9,0.1,3.5,10427.8,1871.9,15042.2,324.9,0.2,-0.4,357.9,8781.8,64.3,0.2,0.0,34.8,18333.0,300.5,0.0006289596
0:52.0 - 0:53.5,8361.0,754.4,0.1,3.4,8324.7,1830.7,14998.9,301.1,0.6,-0.2,387.2,8791.8,76.5,0.5,0.0,37.3,15145.0,224.3,0.00079899223
0:53.5 - 0:55.0,12097.0,761.0,0.1,10.1,12058.3,1710.0,14850.9,273.9,0.3,0.0,617.4,8750.3,86.2,-1.4,-0.5,37.0,23981.0,326.6,0.0012717322
0:55.0 - 0:56.5,6513.0,643.5,0.0,2.1,6473.4,1362.7,15010.5,245.4,-0.1,-0.1,387.8,8789.0,64.6,0.1,0.0,39.0,11080.0,167.2,0.0023378436
0:56.5 - 0:58.0,10420.0,672.8,-0.0,6.0,10380.8,1910.3,14781.8,296.6,0.3,-0.3,468.9,8769.2,72.4,0.2,0.0,39.4,19934.0,264.6,0.0008941431
0:58.0 - 0:59.4,8709.0,632.5,0.0,4.1,8670.1,1555.5,14824.5,286.2,0.2,-0.6,455.3,8779.6,71.9,0.5,0.0,39.1,15281.0,223.0,0.0018524651
0:59.4 - 1:0.9,9148.0,605.4,-0.1,5.7,11316.1,1743.3,14951.2,274.9,0.5,-0.5,436.5,8780.9,67.2,-0.5,0.0,40.1,20425.0,227.9,0.0016770526
1:0.9 - 1:2.4,9740.0,627.0,0.1,4.7,9700.4,1432.4,14819.5,281.5,0.2,-0.6,419.2,8767.6,64.8,-0.6,0.0,39.1,16549.0,248.9,0.00075078965
1:2.4 - 1:3.9,11248.0,656.8,0.0,5.0,11200.1,11145.5,6806.0,3869.6,0.5,1.6,3231.3,6399.1,1147.7,1.5,0.0,36.0,20324.0,312.4,0.003995871
1:3.9 - 1:5.4,6259.0,725.1,-0.1,2.1,7518.5,2655.4,4984.2,473.6,1.7,1.3,310.8,5824.5,62.2,0.0,-0.0,36.3,13726.0,172.5,0.0009810512
1:5.4 - 1:6.9,16500.0,3139.4,0.2,3.5,16447.0,5196.7,3128.1,1452.2,-0.7,0.8,2160.5,5083.2,600.9,0.0,0.0,21.5,31271.0,768.1,0.9745218
