approximate_timing,mean,max,diff,standard_deviation,variance,skewness,kurtosis,median_absolute,maximum_deviation,abs_mean,rms,peak_to_peak,prediction,label
0:52.0 - 0:53.5,36.3,8361.0,8324.7,754.4,569124.6,0.1,3.4,443.0,8324.7,565.6,37.3,15145.0,0.0006408087,0
0:53.5 - 0:55.0,38.7,12097.0,12058.3,761.0,579184.3,0.1,10.1,418.0,12058.3,550.2,37.0,23981.0,0.0016695234,0
0:55.0 - 0:56.5,39.6,6513.0,6473.4,643.5,414039.3,0.0,2.1,385.0,6473.4,489.4,39.0,11080.0,0.0005790126,0
0:56.5 - 0:58.0,39.2,10420.0,10380.8,672.8,452606.4,-0.0,6.0,385.0,10380.8,497.3,39.4,19934.0,0.004277256,0
0:58.0 - 0:59.4,38.9,8709.0,8670.1,632.5,400107.0,0.0,4.1,372.0,8670.1,474.4,39.1,15281.0,0.004345251,0
0:59.4 - 1:0.9,39.1,9148.0,9108.9,605.4,366489.2,-0.1,5.7,359.0,11316.1,456.4,40.1,20425.0,0.0071798516,0
1:0.9 - 1:2.4,39.6,9740.0,9700.4,627.0,393135.9,0.1,4.7,364.0,9700.4,468.7,39.1,16549.0,0.002022547,0
1:2.4 - 1:3.9,47.9,11248.0,11200.1,656.8,431443.8,0.0,5.0,425.0,11200.1,511.5,36.0,20324.0,0.0044408897,0
1:3.9 - 1:5.4,51.5,6259.0,6207.5,725.1,525808.1,-0.1,2.1,450.0,7518.5,557.5,36.3,13726.0,0.001305115,0
1:5.4 - 1:6.9,53.0,16500.0,16447.0,3139.4,9855591.7,0.2,3.5,1332.0,16447.0,2123.5,21.5,31271.0,0.96894985,1
1:6.9 - 1:8.4,52.3,12681.0,12628.7,1540.8,2374107.7,-0.0,0.9,987.0,14052.3,1203.3,24.2,26681.0,0.00047241923,0
1:8.4 - 1:9.8,54.4,11497.0,11442.6,1458.7,2127944.7,0.0,3.3,866.0,11442.6,1091.9,25.7,21787.0,0.0072081154,0
1:9.8 - 1:11.3,50.9,11217.0,11166.1,1420.3,2017285.9,-0.1,5.3,799.0,12625.9,1034.0,27.1,23792.0,0.013275037,0
1:11.3 - 1:12.8,50.8,8644.0,8593.2,1339.7,1794723.5,0.1,0.6,845.5,8593.2,1043.5,26.3,16308.0,0.00044309994,0
1:12.8 - 1:14.3,52.3,4365.0,4312.7,992.6,985261.8,-0.1,0.3,630.0,4343.3,778.6,30.4,8656.0,0.00077810197,0
1:14.3 - 1:15.8,48.6,3194.0,3145.4,764.4,584329.6,-0.0,0.2,505.0,3366.6,606.0,34.7,6512.0,0.0005218904,0
1:15.8 - 1:17.3,51.9,3463.0,3411.1,689.8,475792.6,-0.1,0.2,460.0,3411.1,550.3,35.3,6546.0,0.00077810197,0
1:17.3 - 1:18.8,50.2,2863.0,2812.8,739.8,547353.5,-0.0,0.1,495.0,2995.2,589.4,32.0,5808.0,0.0005218904,0
1:18.8 - 1:20.2,44.5,6462.0,6417.5,1088.2,1184145.8,-0.2,2.7,646.0,7048.5,817.5,30.5,13466.0,0.005473369,0
1:20.2 - 1:21.7,52.1,8209.0,8156.9,1372.3,1883176.7,0.3,4.0,704.0,8156.9,970.5,29.1,15309.0,0.0027642497,0
1:21.7 - 1:23.2,48.2,6216.0,6167.8,1404.0,1971200.5,0.1,1.2,811.0,6167.8,1056.8,24.3,12272.0,0.00037738314,0
1:23.2 - 1:24.7,54.0,15503.0,15449.0,3205.2,10273603.4,0.2,2.9,1608.0,15449.0,2270.0,15.3,29808.0,0.9305299,1
1:24.7 - 1:26.2,44.0,7894.0,7850.0,2129.2,4533668.7,-0.0,0.2,1375.0,7850.0,1678.4,20.2,15097.0,0.001473195,0
1:26.2 - 1:27.7,54.3,8318.0,8263.7,2055.3,4224380.1,0.1,0.7,1229.0,8263.7,1572.6,19.4,15402.0,0.0010984025,0
1:27.7 - 1:29.2,53.5,6760.0,6706.5,1449.7,2101718.0,0.1,0.9,854.5,6706.5,1100.6,25.0,13263.0,0.00037738314,0
1:29.2 - 1:30.6,53.7,3799.0,3745.3,979.2,958892.1,-0.1,0.1,653.0,4355.7,779.1,30.3,8101.0,0.00077810197,0
1:30.6 - 1:32.1,50.7,5916.0,5865.3,1376.6,1895125.0,0.1,1.1,792.0,6234.7,1038.7,27.0,12100.0,0.00044309994,0
1:32.1 - 1:33.6,52.7,7924.0,7871.3,1059.3,1122083.7,0.0,3.4,636.0,8860.7,799.4,29.3,16732.0,0.0027642497,0
1:33.6 - 1:35.1,45.1,4244.0,4198.9,779.6,607778.9,0.1,0.8,488.0,4198.9,605.3,33.9,7857.0,0.0005218904,0
1:35.1 - 1:36.6,39.9,4780.0,4740.1,932.6,869795.7,-0.1,1.3,532.0,5167.9,701.1,32.8,9908.0,0.00076937437,0
1:36.6 - 1:38.1,39.9,6823.0,6783.1,1426.0,2033419.7,0.0,1.8,777.0,7407.9,1050.0,27.7,14191.0,0.0007295134,0
1:38.1 - 1:39.6,38.9,16516.0,16477.1,3060.7,9367945.9,-0.2,1.5,1708.0,16477.1,2282.4,17.6,32296.0,0.90596414,1
1:39.6 - 1:41.0,38.9,13029.0,12990.1,2603.2,6776819.7,-0.2,2.6,1345.0,15600.9,1873.6,21.9,28591.0,0.95812833,1
1:41.0 - 1:42.5,36.2,11344.0,11307.8,2266.9,5138705.8,-0.2,2.5,1127.5,12834.2,1615.6,22.0,24142.0,0.0753015,0
1:42.5 - 1:44.0,39.3,13778.0,13738.7,2932.7,8600854.9,-0.1,1.7,1588.0,15506.3,2159.4,16.5,29245.0,0.040707745,0
1:44.0 - 1:45.5,37.6,8103.0,8065.4,1781.6,3174077.0,-0.1,1.2,1034.0,8888.6,1344.6,22.8,16954.0,0.0011458358,0
1:45.5 - 1:47.0,39.0,9234.0,9195.0,1856.0,3444626.1,-0.0,1.2,1083.0,9662.0,1405.3,20.8,18857.0,0.0010198656,0
1:47.0 - 1:48.5,39.5,17320.0,17280.5,3747.2,14041268.5,-0.1,1.2,2122.0,17532.5,2811.1,15.6,-30723.0,0.0077165216,0
1:48.5 - 1:50.0,42.4,12919.0,12876.6,2990.5,8943240.9,-0.0,0.9,1769.0,12999.4,2280.1,16.8,25876.0,0.02746031,0
